,02-11-2018;teams_700.csv,03-11-2018;teams_700.csv,04-11-2018;teams_600.csv,05-11-2018;teams_700.csv,07-11-2018;teams_700.csv,09-11-2018;teams_700.csv,10-11-2018;teams_700.csv,21-11-2018;teams_700.csv,23-11-2018;teams_700.csv,26-11-2018;teams_700.csv,28-11-2018;teams_700.csv,21-12-2018;teams_700.csv,03-12-2018;teams_700.csv,05-12-2018;teams_700.csv,07-12-2018;teams_700.csv,08-12-2018;teams_700.csv,01-11-2018;teams_700.csv,06-11-2018;teams_700.csv,08-11-2018;teams_800.csv,23-11-2018;teams_800.csv,24-11-2018;teams_730.csv,25-11-2018;teams_600.csv,27-11-2018;teams_700.csv,28-11-2018;teams_800.csv,01-12-2018;teams_700.csv,03-12-2018;teams_730.csv,04-12-2018;teams_700.csv,05-12-2018;teams_800.csv,09-12-2018;teams_600.csv
54,272.5,258.25,199.0,232.25,224.5,259.25,220.25,266.0,232.75,353.75,296.0,260.25,297.25,276.75,293.25,288.5,341.75,245.5,270.25,254.0,365.5,282.25,258.25,295.75,304.5,216.75,218.5,226.5,222.0
55,240.25,274.0,242.5,264.25,293.25,257.25,234.75,238.0,234.5,308.5,277.0,236.75,245.25,300.25,292.0,295.5,337.5,227.75,292.0,269.5,343.75,309.5,224.75,213.5,271.0,228.5,217.0,187.75,249.25
56,259.5,261.5,235.0,262.75,297.0,281.75,238.25,269.25,271.25,287.5,273.5,241.5,229.25,285.5,285.25,237.25,315.0,264.0,270.0,239.0,297.5,288.75,230.5,204.25,253.0,259.25,218.25,218.25,245.75
57,219.0,259.75,245.75,305.75,272.75,230.75,298.5,241.75,243.25,319.75,276.5,258.5,259.75,273.25,289.5,297.75,346.75,283.5,308.0,247.75,342.25,282.75,258.5,260.0,259.25,262.75,247.25,248.0,247.0
58,213.75,296.25,269.75,253.75,223.75,249.5,234.5,300.75,226.25,308.0,263.0,234.5,248.25,283.75,247.75,236.25,343.0,233.25,316.5,286.25,312.0,288.0,264.5,256.0,253.75,289.5,231.75,244.75,231.0
59,259.0,303.5,258.0,241.25,228.0,296.75,251.0,235.75,240.75,317.25,245.5,250.0,259.75,250.5,286.75,327.25,286.75,253.0,279.25,250.0,367.25,353.25,253.25,303.75,280.25,296.25,225.0,250.0,306.5
60,242.75,244.5,250.0,295.25,235.0,263.25,277.0,302.25,257.24,333.75,230.25,271.25,277.75,275.25,269.75,261.5,345.0,289.0,308.0,275.75,307.5,289.75,237.0,273.0,278.0,237.75,236.25,240.25,257.75
61,275.25,248.5,251.25,261.0,284.75,266.0,229.75,263.5,253.0,302.25,283.25,252.5,246.25,240.75,333.0,292.0,323.5,259.25,307.25,305.25,297.0,277.75,218.0,221.5,270.5,280.75,256.25,244.0,276.5
62,247.0,243.5,231.0,262.25,243.25,246.0,273.0,293.25,260.75,272.25,280.25,265.0,275.25,253.5,277.5,287.75,346.0,247.0,315.25,287.5,312.5,309.25,203.5,257.75,252.0,295.5,232.5,225.0,196.5
63,269.25,277.25,214.25,263.75,220.25,275.5,229.75,276.75,232.75,337.25,264.25,234.5,230.5,265.75,255.0,261.5,288.25,249.5,270.0,256.25,311.75,302.5,201.5,291.5,311.75,270.0,255.0,203.5,268.75
64,243.0,252.25,235.5,266.75,252.75,253.0,269.75,273.5,287.5,307.0,293.0,254.25,223.75,256.5,309.5,293.5,330.25,278.25,302.0,284.25,316.5,300.5,251.75,274.0,259.25,287.75,221.75,233.25,238.75
65,265.75,276.25,243.75,262.0,292.75,252.0,273.5,279.75,252.5,288.75,288.5,243.75,238.0,268.5,275.0,278.0,328.5,249.25,311.25,275.75,358.5,284.25,232.75,312.25,252.0,242.0,214.5,230.25,286.5
66,266.25,295.75,239.5,256.25,265.0,273.0,252.25,275.0,209.25,325.75,256.25,254.75,240.0,274.5,284.5,332.5,325.0,253.0,283.75,255.75,318.75,304.5,251.25,314.25,284.25,215.0,260.5,217.0,242.75
67,237.75,278.75,241.25,279.75,243.75,271.5,245.5,288.25,279.75,313.0,286.5,229.75,280.0,258.75,271.5,321.5,334.5,287.0,308.75,253.5,373.0,284.75,224.0,258.75,263.75,256.25,229.5,278.75,276.0
68,263.5,219.5,225.5,262.75,257.75,276.0,258.5,287.5,225.25,326.5,314.75,244.75,235.5,265.0,283.0,259.25,336.75,255.0,293.25,257.25,328.75,269.25,252.25,213.5,275.75,252.25,188.75,248.0,224.0
69,262.5,296.25,223.0,233.5,278.5,242.25,244.25,286.75,259.0,339.25,273.25,234.0,252.75,278.5,234.0,260.75,352.0,233.25,298.25,257.75,359.0,306.25,213.75,206.25,260.5,255.5,215.75,193.5,281.0
70,267.75,271.75,238.75,269.25,286.75,235.0,256.25,262.0,264.75,313.25,287.5,246.75,288.5,327.0,285.5,246.75,295.5,233.75,308.0,252.75,357.0,275.25,218.25,276.75,250.75,263.25,262.25,275.75,295.75
71,242.5,247.75,247.0,270.75,271.75,256.5,229.75,289.75,254.5,276.5,291.0,254.0,231.5,255.75,276.5,249.0,351.0,263.5,259.5,289.25,344.5,319.25,235.25,197.0,254.75,254.25,231.0,178.75,242.0
72,255.0,235.75,200.75,252.25,286.25,245.75,262.5,281.5,242.0,295.25,264.0,262.5,238.75,251.25,315.0,248.0,310.5,252.5,289.25,251.0,329.0,324.0,239.75,288.25,273.5,212.0,244.25,210.25,215.5
73,253.75,280.0,254.5,249.25,232.5,257.25,248.25,279.75,229.75,330.5,264.0,244.5,243.0,298.75,254.25,273.0,340.0,239.5,250.0,258.75,318.5,289.0,247.5,239.75,259.0,262.5,243.75,237.5,262.0
74,209.75,266.0,202.5,256.25,250.75,269.5,239.25,280.5,230.0,327.25,273.75,268.25,226.5,261.75,317.25,267.0,317.0,269.25,330.0,294.25,326.25,321.25,225.25,239.5,247.5,271.5,229.5,220.0,251.0
75,245.5,249.25,211.5,238.25,260.25,242.0,237.75,257.0,201.25,287.0,257.25,258.0,247.75,237.0,284.0,260.75,327.5,266.25,283.25,247.5,338.75,294.75,214.0,234.25,244.75,239.0,231.5,229.25,297.25
76,218.5,259.5,235.5,259.5,235.0,279.5,254.5,271.5,288.25,304.5,274.0,268.5,257.5,258.25,262.0,241.0,323.25,247.0,281.75,249.75,330.75,307.5,224.5,258.0,279.5,244.5,234.0,220.5,234.75
77,243.25,240.0,228.75,266.5,229.5,263.25,241.75,258.75,250.25,282.0,269.25,263.0,235.0,265.5,283.75,264.75,359.0,237.75,286.75,264.75,341.0,299.5,215.0,245.25,253.5,274.0,209.25,261.0,237.25
